name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim Central Florida,"9800 Bachman Rd, Orlando, FL 32824-8005 Get Directions",nan,FL,nan,407-438-1000,https://site.manheim.com/en/locations/us-locations/manheim-central-florida.html,,
Manheim Daytona Beach,"1305 Indian Lake Road, Daytona Beach, FL 32124-1039 Get Directions",nan,FL,nan,386-255-2500,https://site.manheim.com/en/locations/us-locations/manheim-daytona-beach.html,,
Manheim Fort Lauderdale,"5353 S State Road 7, Davie, FL 33314-6403 Get Directions",nan,FL,nan,954-791-3520,https://site.manheim.com/en/locations/us-locations/manheim-fort-lauderdale.html,,
Manheim Fort Myers,"2100 Rockfill Rd, Fort Myers, FL 33916 Get Directions",nan,FL,nan,239-476-9800,https://site.manheim.com/en/locations/us-locations/manheim-fort-myers.html,,
Manheim Jacksonville,"10817 New Kings Rd, Jacksonville, FL 32219 Get Directions",nan,FL,nan,904-768-9981,https://site.manheim.com/en/locations/us-locations/manheim-jacksonville.html,,
Manheim Lakeland,"8025 N State Road 33, Lakeland, FL 33809 Get Directions",nan,FL,nan,863-984-1551,https://site.manheim.com/en/locations/us-locations/manheim-lakeland.html,,
Manheim Orlando,"11801 W Colonial Dr, Ocoee, FL 34761-3328 Get Directions",nan,FL,nan,407-656-6200,https://site.manheim.com/en/locations/us-locations/manheim-orlando.html,,
Manheim Palm Beach,"600 Sansbury’s Way, West Palm Beach, FL 33411 Get Directions",nan,FL,nan,561-790-1200,https://site.manheim.com/en/locations/us-locations/manheim-palm-beach.html,,
Manheim Pensacola,"6359 North W St, Pensacola, FL 32505-1710 Get Directions",nan,FL,nan,850-484-7100,https://site.manheim.com/en/locations/us-locations/manheim-pensacola.html,,
Manheim St. Pete,"14950 Roosevelt Blvd, Clearwater, FL 33762-3501 Get Directions",nan,FL,nan,727-531-7717,https://site.manheim.com/en/locations/us-locations/manheim-st-pete.html,,
Manheim Tampa,"401 S 50th St, Tampa, FL 33619-3651 Get Directions",nan,FL,nan,813-247-1666,https://site.manheim.com/en/locations/us-locations/manheim-tampa.html,,
